Country Name,Country Code,Year,GDP per capita constant 2015 US$,Gov expenditure pct GDP
Chile,CHL,2006,10611.6144012877,18.730162
Costa Rica,CRI,2006,9160.29437453236,15.150322
Equatorial Guinea,GNQ,2006,10521.9996774827,18.09294
Mexico,MEX,2006,9813.8280424425,21.576569
Poland,POL,2006,9137.65850849801,44.451424
St. Lucia,LCA,2006,10045.6504032593,24.41224
Costa Rica,CRI,2007,9779.51149389818,14.595431
Mexico,MEX,2007,9877.69532644737,22.521006
Panama,PAN,2007,9507.64640169959,21.796223
Poland,POL,2007,9760.7042604352,42.90035
St. Lucia,LCA,2007,10147.4432459936,22.181328
Costa Rica,CRI,2008,10104.9092039691,15.179906
Maldives,MDV,2008,9396.49733610486,35.56892
Mexico,MEX,2008,9826.3421836048,26.501976
Panama,PAN,2008,10288.1549774225,23.619848
Poland,POL,2008,10187.2017910883,44.17192
Russian Federation,RUS,2008,9093.7001953125,32.01041
St. Lucia,LCA,2008,10583.4310172598,22.345589
Costa Rica,CRI,2009,9883.67567046297,16.658997
Latvia,LVA,2009,10675.425174228,42.398205
Mexico,MEX,2009,9074.1188145564,26.516525
Panama,PAN,2009,10267.0633132424,22.466583
Poland,POL,2009,10446.5289138524,45.01368
St. Lucia,LCA,2009,10219.8024011561,24.185205
Costa Rica,CRI,2010,10285.0856660419,18.042295
Equatorial Guinea,GNQ,2010,10984.3243932426,31.178907
Latvia,LVA,2010,10500.8666223014,42.66702
Mexico,MEX,2010,9389.06722084275,26.482124
Panama,PAN,2010,10698.0717490512,25.902536
Poland,POL,2010,10808.3975674238,46.24461
St. Lucia,LCA,2010,10191.3146827694,25.636354
Brazil,BRA,2011,9067.99212019529,39.367252
Costa Rica,CRI,2011,10612.4694861141,17.17984
Maldives,MDV,2011,9005.81391375104,31.259922
Mexico,MEX,2011,9575.93437788582,26.622072
Russian Federation,RUS,2011,9120.8203125,33.26121
St. Lucia,LCA,2011,10576.8979743596,26.854406
Suriname,SUR,2011,9003.28597674886,21.048813
Turkiye,TUR,2011,9265.85910238578,32.811806
Brazil,BRA,2012,9167.49818450433,39.309807
Mexico,MEX,2012,9782.51776305354,26.999657
Russian Federation,RUS,2012,9464.0107421875,34.028698
