Country Name,Country Code,Year,GDP per capita current US$,Gov expenditure pct GDP
Chile,CHL,2007,10346.413818453251,19.306606
Mexico,MEX,2007,10134.332713811855,22.521006
Russian Federation,RUS,2007,9101.2392578125,31.941519
Turkiye,TUR,2007,9766.91734545294,32.89378
Chile,CHL,2008,10683.218877251113,21.79111
Gabon,GAB,2008,9688.645196906331,18.9291
Mexico,MEX,2008,10523.768540324385,26.501976
Romania,ROU,2008,10435.156123078721,35.271397
Turkiye,TUR,2008,10913.407904776937,33.69474
Uruguay,URY,2008,9423.965625958926,26.29236
Chile,CHL,2009,10098.801716728622,24.975693
Seychelles,SYC,2009,9747.09180546291,32.117413
Turkiye,TUR,2009,9076.924722369766,37.22808
Uruguay,URY,2009,9881.395731270806,27.193434
Argentina,ARG,2010,10260.13131082542,33.35807
Mexico,MEX,2010,9728.800783770816,26.482124
Russian Federation,RUS,2010,10674.990234375,35.50483
Seychelles,SYC,2010,10934.79494629001,34.575912
Turkiye,TUR,2010,10698.969940975661,35.4779
Costa Rica,CRI,2011,9276.391075113472,17.17984
Gabon,GAB,2011,10219.11393394536,22.073605
Malaysia,MYS,2011,10217.106858503092,27.087816
Mexico,MEX,2011,10664.49440323125,26.622072
Panama,PAN,2011,9662.295909119792,24.622143
Romania,ROU,2011,9560.675527745803,34.980064
St. Lucia,LCA,2011,9128.994420116125,26.854406
"Venezuela, RB",VEN,2011,10843.922970316738,39.36064
Costa Rica,CRI,2012,10126.999102417712,17.34318
Gabon,GAB,2012,9296.965879410882,23.949581
Malaysia,MYS,2012,10600.574424002583,28.50543
Mexico,MEX,2012,10744.133524268636,26.999657
St. Lucia,LCA,2012,9260.300065517144,27.727514
Costa Rica,CRI,2013,10803.240196217295,18.519442
Gabon,GAB,2013,9197.701063239467,34.67457
Malaysia,MYS,2013,10713.640763889869,27.780104
Romania,ROU,2013,9497.674116152373,34.168655
St. Lucia,LCA,2013,9577.217337543578,25.083422
Suriname,SUR,2013,9043.192815292216,26.870714
Costa Rica,CRI,2014,10911.497878334028,18.400082
Gabon,GAB,2014,9201.362766481054,23.755484
Romania,ROU,2014,10031.771075540391,33.754543
St. Lucia,LCA,2014,10044.82183776766,23.387672
Suriname,SUR,2014,9108.189054067641,27.198637
Equatorial Guinea,GNQ,2015,9068.910032386446,41.57078
Malaysia,MYS,2015,9648.679793752302,24.708185
Maldives,MDV,2015,9644.906550281454,33.78895
Mexico,MEX,2015,10021.238611882723,26.557375
Russian Federation,RUS,2015,9277.7138671875,35.273453
St. Lucia,LCA,2015,10334.986082391815,23.504478
Grenada,GRD,2016,9221.234610794238,23.526796
Malaysia,MYS,2016,9476.534098099228,22.857676
Maldives,MDV,2016,9947.807447317393,37.339664
Mexico,MEX,2016,9097.923976747688,26.52252
Romania,ROU,2016,9404.540058707149,31.812971
St. Lucia,LCA,2016,10638.12693966526,22.627817
Turkiye,TUR,2016,10984.36431690613,33.800213
Brazil,BRA,2017,10080.507872282147,44.297333
Grenada,GRD,2017,9751.426611559324,22.589148
Malaysia,MYS,2017,9862.548066122346,22.04306
Maldives,MDV,2017,10509.628805811957,30.356897
Mexico,MEX,2017,9649.278167724024,25.01818
Romania,ROU,2017,10727.982200742588,31.018637
Russian Federation,RUS,2017,10658.9130859375,34.83017
Turkiye,TUR,2017,10756.387767788297,32.61051
Brazil,BRA,2018,9300.660729040037,44.18066
Bulgaria,BGR,2018,9849.383972251744,34.326534
China,CHN,2018,10085.663814881918,33.276943
Dominica,DMA,2018,9215.308540564503,63.43155
Grenada,GRD,2018,10083.02127922496,22.369394
Lebanon,LBN,2018,9174.536662047589,32.32634
Malaysia,MYS,2018,10901.80199544212,22.799944
Mexico,MEX,2018,10084.793756202112,24.969736
Turkiye,TUR,2018,9684.118198847205,34.293766
Argentina,ARG,2019,9955.974786804276,38.12906
Brazil,BRA,2019,9029.83304401079,43.042877
Bulgaria,BGR,2019,10353.72045841272,35.868797
China,CHN,2019,10342.90095243346,34.15261
Dominica,DMA,2019,9491.149959623737,48.28094
Grenada,GRD,2019,10462.792915953347,21.642614
Malaysia,MYS,2019,10920.191763972032,23.575
Mexico,MEX,2019,10369.555358527137,25.241837
Turkiye,TUR,2019,9395.233780013677,35.514717
Bulgaria,BGR,2020,10760.211975413009,37.81082
China,CHN,2020,10627.463798961868,35.402733
Malaysia,MYS,2020,9957.526266976134,25.040268
Russian Federation,RUS,2020,10108.3271484375,39.152565
Argentina,ARG,2021,10738.017922338438,37.883366
Grenada,GRD,2021,9617.289029053734,31.244282
Guyana,GUY,2021,9860.870148343864,26.009218
Malaysia,MYS,2021,10903.103748077187,24.45074
Maldives,MDV,2021,10176.143882547023,40.614864
Mexico,MEX,2021,10314.050672211482,26.754974
St. Lucia,LCA,2021,10459.132124809183,25.831581
Turkiye,TUR,2021,9981.763984113362,31.283236
Brazil,BRA,2022,9281.332821368642,43.44533
Dominica,DMA,2022,9323.660894905619,69.98738
Dominican Republic,DOM,2022,10104.244934908073,18.512686
Grenada,GRD,2022,10469.386701285634,31.808434
St. Vincent and the Grenadines,VCT,2022,9693.558678330251,35.89036
Turkiye,TUR,2022,10897.83978613649,27.33214
Albania,ALB,2023,9730.869219068934,29.174093
Brazil,BRA,2023,10377.58977191948,45.449196
Dominica,DMA,2023,9912.962127666682,61.66059
Dominican Republic,DOM,2023,10630.431743829022,18.970379
St. Vincent and the Grenadines,VCT,2023,10582.365672522892,38.010178
